State,APC,PDP,LP,Region,lat,lon
Abia,8914,22676,327095,South_East,5.4527,7.5248
Adamawa,182881,417611,105648,North_East,9.3255,12.3972
Akwa Ibom,160620,214012,132683,South_South,4.9057,7.8537
Anambra,5111,9036,584621,South_East,6.2209,6.937
Bauchi,316694,426607,27373,North_East,10.7761,9.9992
Bayelsa,42572,68818,49975,South_South,4.7719,6.0699
Benue,310468,130081,308372,North_Central,7.3366,8.7401
Cross river,130520,95425,179917,South_South,5.8702,8.5988
Delta,90183,161600,341866,South_South,5.704,5.934
Eboyin,42402,13503,259738,South_East,6.2649,8.0137
Edo,144471,89585,331163,South_South,6.6342,5.9304
Ekiti,201494,89554,11397,South_West,7.719,5.311
Enugu,4772,15749,428640,South_East,6.5364,7.4356
FCT,90902,74194,281717,North_Central,8.8941,7.186
Gombe,146977,319123,26160,North_East,10.3638,11.1928
Jigawa,421390,386587,1889,North_West,12.228,9.5616
Kaduna,399293,554360,294494,North_West,10.3764,7.7094
Kano,517341,131716,28513,North_West,11.7471,8.5247
Katsina,482283,489045,6376,North_West,12.3781,7.6328
Kebbi,248088,285175,10682,North_West,11.4942,4.2333
Kogi,240751,145104,56217,North_Central,7.7337,6.6906
Kwara,263572,136909,3141,North_Central,8.9669,4.3874
Lagos,572606,75750,582454,South_West,6.5227,3.6218
Nasarawa,172922,147093,191361,North_Central,8.4998,8.1997
Niger,375183,284898,80452,North_Central,9.9309,5.5983
Ogun,341554,123831,85829,South_West,6.9996,3.4749
Ondo,369924,115463,47350,South_West,6.9149,5.1476
Osun,343945,354366,23283,South_West,7.5625,4.5203
Oyo,449884,182977,99110,South_West,8.1574,3.6147
Plateau,307195,243808,466272,North_Central,9.2182,9.5179
Sokoto,285444,288679,6568,North_West,13.0533,5.3223
Yobe,151459,198567,2406,North_East,12.2941,11.4376
Zamfara,298396,193978,1660,North_West,12.1222,6.2236
Imo,66406,30234,360495,South_East,5.5723,7.0588
Rivers,231591,88468,175071,South_South,4.8397,6.908
Taraba,135165,189017,146315,North_East,7.9983,10.7727
Borno,252282,190921,7205,North_East,11.8846,13.152
Total,8805655,6984520,6073508,,,
